"","passanger","weather","time","couponType","expiration","age","maritalStatus","has_children","education","occupation","income","Bar","CoffeeHouse","CarryAway","Restaurant20To50","toCoupon","Y"
"3062","Alone","Sunny","6PM","Bar","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","High","less1","gt8","4~8","less1","5min - 15min","1"
"3063","Alone","Sunny","6PM","Restaurant(20-50)","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","High","less1","gt8","4~8","less1","15min - 25min","1"
"3064","Alone","Sunny","6PM","Coffee House","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","High","less1","gt8","4~8","less1","5min - 15min","0"
"3065","Alone","Sunny","7AM","Coffee House","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","High","less1","gt8","4~8","less1","more than 25min","1"
"3066","Alone","Sunny","7AM","Bar","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","High","less1","gt8","4~8","less1","more than 25min","1"
"3067","Alone","Sunny","7AM","Restaurant(20-50)","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","High","less1","gt8","4~8","less1","15min - 25min","1"
"3068","Alone","Sunny","7AM","Carry out & Take away","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","High","less1","gt8","4~8","less1","5min - 15min","1"
"3069","Alone","Sunny","7AM","Restaurant(<20)","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","High","less1","gt8","4~8","less1","5min - 15min","1"
"3070","Alone","Sunny","7AM","Coffee House","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","High","less1","gt8","4~8","less1","15min - 25min","0"
"3071","Alone","Sunny","2PM","Restaurant(<20)","1d","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","5min - 15min","1"
"3072","Friend(s)","Sunny","10AM","Coffee House","2h","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","5min - 15min","0"
"3073","Friend(s)","Sunny","10AM","Bar","1d","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","5min - 15min","1"
"3074","Friend(s)","Sunny","10AM","Carry out & Take away","2h","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","15min - 25min","0"
"3075","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","5min - 15min","1"
"3076","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","15min - 25min","0"
"3077","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","15min - 25min","1"
"3078","Friend(s)","Sunny","2PM","Restaurant(<20)","1d","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","15min - 25min","1"
"3079","Friend(s)","Sunny","6PM","Coffee House","2h","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","5min - 15min","0"
"3080","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","15min - 25min","0"
"3081","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","5min - 15min","0"
"3082","Friend(s)","Sunny","2PM","Carry out & Take away","1d","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","15min - 25min","1"
"3083","Alone","Sunny","10AM","Coffee House","2h","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","5min - 15min","0"
"3084","Alone","Sunny","6PM","Bar","1d","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","5min - 15min","1"
"3085","Alone","Sunny","6PM","Restaurant(20-50)","1d","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","15min - 25min","1"
"3086","Alone","Sunny","6PM","Coffee House","2h","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","5min - 15min","0"
"3087","Alone","Sunny","7AM","Coffee House","2h","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","more than 25min","0"
"3088","Alone","Sunny","7AM","Bar","1d","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","more than 25min","1"
"3089","Alone","Sunny","7AM","Restaurant(20-50)","1d","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","15min - 25min","1"
"3090","Alone","Sunny","7AM","Carry out & Take away","2h","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","5min - 15min","0"
"3091","Alone","Sunny","7AM","Restaurant(<20)","1d","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","5min - 15min","1"
"3092","Alone","Sunny","7AM","Coffee House","2h","20-30","Single","0","High School Graduate","unemployed","Medium","gt8","gt8","gt8","gt8","15min - 25min","0"
"3093","Alone","Sunny","2PM","Restaurant(<20)","1d","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","5min - 15min","1"
"3094","Friend(s)","Sunny","10AM","Coffee House","2h","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","5min - 15min","1"
"3095","Friend(s)","Sunny","10AM","Carry out & Take away","2h","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","0"
"3096","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","1"
"3097","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","1"
"3098","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","1"
"3099","Friend(s)","Sunny","2PM","Carry out & Take away","1d","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","1"
"3100","Kid(s)","Sunny","10AM","Restaurant(<20)","2h","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","1"
"3101","Kid(s)","Sunny","10AM","Carry out & Take away","2h","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","1"
"3102","Kid(s)","Sunny","10AM","Bar","1d","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","0"
"3103","Kid(s)","Sunny","2PM","Restaurant(<20)","1d","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","5min - 15min","1"
"3104","Kid(s)","Sunny","2PM","Restaurant(<20)","1d","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","1"
"3105","Kid(s)","Sunny","6PM","Coffee House","2h","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","1"
"3106","Alone","Sunny","6PM","Bar","1d","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","5min - 15min","0"
"3107","Alone","Sunny","6PM","Restaurant(20-50)","1d","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","0"
"3108","Alone","Sunny","6PM","Coffee House","2h","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","5min - 15min","0"
"3109","Alone","Sunny","7AM","Coffee House","2h","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","more than 25min","1"
"3110","Alone","Sunny","7AM","Bar","1d","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","more than 25min","0"
"3111","Alone","Sunny","7AM","Restaurant(20-50)","1d","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","1"
"3112","Alone","Sunny","7AM","Carry out & Take away","2h","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","5min - 15min","1"
"3113","Alone","Sunny","7AM","Restaurant(<20)","1d","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","5min - 15min","1"
"3114","Alone","Sunny","7AM","Coffee House","2h","20-30","Married partner","1","Bachelors degree","employed","High","never","less1","1~3","less1","15min - 25min","1"
"3115","Alone","Sunny","2PM","Restaurant(<20)","1d","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","5min - 15min","1"
"3116","Friend(s)","Sunny","10AM","Coffee House","2h","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","5min - 15min","0"
"3117","Friend(s)","Sunny","10AM","Bar","1d","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","5min - 15min","0"
"3118","Friend(s)","Sunny","10AM","Carry out & Take away","2h","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","15min - 25min","0"
"3119","Friend(s)","Sunny","2PM","Coffee House","1d","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","5min - 15min","0"
"3120","Friend(s)","Sunny","2PM","Coffee House","2h","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","15min - 25min","0"
"3121","Friend(s)","Sunny","2PM","Coffee House","1d","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","15min - 25min","0"
"3122","Friend(s)","Sunny","2PM","Restaurant(<20)","1d","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","15min - 25min","1"
"3123","Friend(s)","Sunny","6PM","Coffee House","2h","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","5min - 15min","0"
"3124","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","15min - 25min","0"
"3125","Friend(s)","Sunny","2PM","Coffee House","2h","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","5min - 15min","0"
"3126","Friend(s)","Sunny","2PM","Carry out & Take away","1d","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","15min - 25min","1"
"3127","Partner","Sunny","10AM","Coffee House","2h","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","15min - 25min","0"
"3128","Alone","Sunny","10AM","Coffee House","2h","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","5min - 15min","0"
"3129","Alone","Sunny","6PM","Bar","1d","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","5min - 15min","1"
"3130","Alone","Sunny","6PM","Restaurant(20-50)","1d","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","15min - 25min","0"
"3131","Alone","Sunny","6PM","Coffee House","2h","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","5min - 15min","0"
"3132","Alone","Sunny","7AM","Coffee House","2h","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","more than 25min","1"
"3133","Alone","Sunny","7AM","Bar","1d","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","more than 25min","0"
"3134","Alone","Sunny","7AM","Restaurant(20-50)","1d","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","15min - 25min","0"
"3135","Alone","Sunny","7AM","Carry out & Take away","2h","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","5min - 15min","0"
"3136","Alone","Sunny","7AM","Restaurant(<20)","1d","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","5min - 15min","0"
"3137","Alone","Sunny","7AM","Coffee House","2h","50plus","Unmarried partner","1","Some college - no degree","employed","Low","4~8","less1","1~3","less1","15min - 25min","0"
"3144","Alone","Sunny","2PM","Restaurant(<20)","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","5min - 15min","1"
"3145","Friend(s)","Sunny","10AM","Coffee House","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","5min - 15min","1"
"3146","Friend(s)","Sunny","10AM","Carry out & Take away","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","1"
"3147","Friend(s)","Sunny","2PM","Coffee House","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","1"
"3148","Friend(s)","Sunny","2PM","Coffee House","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","0"
"3149","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","1"
"3150","Friend(s)","Sunny","2PM","Carry out & Take away","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","1"
"3151","Kid(s)","Sunny","10AM","Restaurant(<20)","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","1"
"3152","Kid(s)","Sunny","10AM","Carry out & Take away","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","0"
"3153","Kid(s)","Sunny","10AM","Bar","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","0"
"3154","Kid(s)","Sunny","2PM","Restaurant(<20)","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","5min - 15min","1"
"3155","Kid(s)","Sunny","2PM","Restaurant(<20)","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","1"
"3156","Kid(s)","Sunny","6PM","Coffee House","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","0"
"3157","Alone","Sunny","6PM","Bar","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","5min - 15min","1"
"3158","Alone","Sunny","6PM","Restaurant(20-50)","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","0"
"3159","Alone","Sunny","6PM","Coffee House","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","5min - 15min","1"
"3160","Alone","Sunny","7AM","Coffee House","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","more than 25min","0"
"3161","Alone","Sunny","7AM","Restaurant(20-50)","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","0"
"3162","Alone","Sunny","7AM","Carry out & Take away","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","5min - 15min","1"
"3163","Alone","Sunny","7AM","Restaurant(<20)","1d","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","5min - 15min","1"
"3164","Alone","Sunny","7AM","Coffee House","2h","40-50","Married partner","1","Graduate degree (Masters or Doctorate)","employed","Medium","1~3","1~3","1~3","less1","15min - 25min","0"
"3165","Alone","Sunny","2PM","Restaurant(<20)","1d","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","5min - 15min","1"
"3166","Friend(s)","Sunny","10AM","Coffee House","2h","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","5min - 15min","0"
"3167","Friend(s)","Sunny","10AM","Carry out & Take away","2h","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","15min - 25min","1"
"3168","Friend(s)","Sunny","2PM","Coffee House","2h","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","15min - 25min","0"
"3169","Friend(s)","Sunny","2PM","Coffee House","1d","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","15min - 25min","0"
"3170","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","15min - 25min","0"
"3171","Friend(s)","Sunny","2PM","Carry out & Take away","1d","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","15min - 25min","1"
"3172","Partner","Sunny","10AM","Coffee House","2h","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","5min - 15min","0"
"3173","Partner","Sunny","10AM","Restaurant(20-50)","1d","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","5min - 15min","0"
"3174","Partner","Sunny","10AM","Bar","2h","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","5min - 15min","0"
"3175","Partner","Sunny","10AM","Coffee House","2h","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","15min - 25min","0"
"3176","Partner","Sunny","6PM","Restaurant(<20)","2h","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","5min - 15min","1"
"3177","Partner","Sunny","6PM","Bar","1d","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","15min - 25min","0"
"3178","Alone","Sunny","6PM","Bar","1d","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","5min - 15min","0"
"3179","Alone","Sunny","6PM","Restaurant(20-50)","1d","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","15min - 25min","0"
"3180","Alone","Sunny","6PM","Coffee House","2h","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","5min - 15min","0"
"3181","Alone","Sunny","7AM","Coffee House","2h","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","more than 25min","0"
"3182","Alone","Sunny","7AM","Bar","1d","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","more than 25min","0"
"3183","Alone","Sunny","7AM","Restaurant(20-50)","1d","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","15min - 25min","0"
"3184","Alone","Sunny","7AM","Carry out & Take away","2h","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","5min - 15min","0"
"3185","Alone","Sunny","7AM","Restaurant(<20)","1d","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","5min - 15min","0"
"3186","Alone","Sunny","7AM","Coffee House","2h","50plus","Married partner","1","Some college - no degree","retired","High","never","never","1~3","less1","15min - 25min","0"
"3187","Alone","Sunny","2PM","Restaurant(<20)","1d","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","5min - 15min","1"
"3188","Friend(s)","Sunny","10AM","Carry out & Take away","2h","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","15min - 25min","1"
"3189","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","15min - 25min","0"
"3190","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","15min - 25min","0"
"3191","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","15min - 25min","1"
"3192","Friend(s)","Sunny","2PM","Carry out & Take away","1d","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","15min - 25min","1"
"3193","Partner","Sunny","10AM","Coffee House","2h","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","5min - 15min","0"
"3194","Partner","Sunny","10AM","Restaurant(20-50)","1d","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","5min - 15min","1"
"3195","Partner","Sunny","10AM","Bar","2h","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","5min - 15min","1"
"3196","Partner","Sunny","10AM","Coffee House","2h","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","15min - 25min","0"
"3197","Partner","Sunny","6PM","Restaurant(<20)","2h","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","5min - 15min","1"
"3198","Partner","Sunny","6PM","Bar","1d","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","15min - 25min","1"
"3199","Alone","Sunny","6PM","Bar","1d","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","5min - 15min","1"
"3200","Alone","Sunny","6PM","Restaurant(20-50)","1d","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","15min - 25min","0"
"3201","Alone","Sunny","6PM","Coffee House","2h","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","5min - 15min","0"
"3202","Alone","Sunny","7AM","Bar","1d","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","more than 25min","1"
"3203","Alone","Sunny","7AM","Restaurant(20-50)","1d","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","15min - 25min","1"
"3204","Alone","Sunny","7AM","Carry out & Take away","2h","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","5min - 15min","0"
"3205","Alone","Sunny","7AM","Restaurant(<20)","1d","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","5min - 15min","1"
"3206","Alone","Sunny","7AM","Coffee House","2h","20-30","Married partner","0","High School Graduate","employed","High","gt8","never","1~3","less1","15min - 25min","0"
"3207","Alone","Sunny","2PM","Restaurant(<20)","1d","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","5min - 15min","1"
"3208","Friend(s)","Sunny","10AM","Coffee House","2h","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","5min - 15min","1"
"3209","Friend(s)","Sunny","10AM","Carry out & Take away","2h","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","0"
"3210","Friend(s)","Sunny","2PM","Coffee House","2h","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","0"
"3211","Friend(s)","Sunny","2PM","Coffee House","1d","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","0"
"3212","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","1"
"3213","Friend(s)","Sunny","2PM","Carry out & Take away","1d","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","1"
"3214","Kid(s)","Sunny","10AM","Restaurant(<20)","2h","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","0"
"3215","Kid(s)","Sunny","10AM","Carry out & Take away","2h","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","1"
"3216","Kid(s)","Sunny","10AM","Bar","1d","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","0"
"3217","Kid(s)","Sunny","2PM","Restaurant(<20)","1d","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","5min - 15min","1"
"3218","Kid(s)","Sunny","2PM","Restaurant(<20)","1d","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","1"
"3219","Kid(s)","Sunny","6PM","Coffee House","2h","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","0"
"3220","Alone","Sunny","6PM","Bar","1d","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","5min - 15min","1"
"3221","Alone","Sunny","6PM","Restaurant(20-50)","1d","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","0"
"3222","Alone","Sunny","6PM","Coffee House","2h","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","5min - 15min","0"
"3223","Alone","Sunny","7AM","Coffee House","2h","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","more than 25min","0"
"3224","Alone","Sunny","7AM","Bar","1d","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","more than 25min","0"
"3225","Alone","Sunny","7AM","Restaurant(20-50)","1d","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","1"
"3226","Alone","Sunny","7AM","Carry out & Take away","2h","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","5min - 15min","0"
"3227","Alone","Sunny","7AM","Restaurant(<20)","1d","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","5min - 15min","1"
"3228","Alone","Sunny","7AM","Coffee House","2h","40-50","Married partner","1","Bachelors degree","employed","High","1~3","less1","less1","1~3","15min - 25min","0"
"3229","Alone","Sunny","2PM","Restaurant(<20)","1d","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","5min - 15min","1"
"3230","Friend(s)","Sunny","10AM","Coffee House","2h","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","5min - 15min","1"
"3231","Friend(s)","Sunny","10AM","Bar","1d","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","5min - 15min","1"
"3232","Friend(s)","Sunny","10AM","Carry out & Take away","2h","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","15min - 25min","1"
"3233","Friend(s)","Sunny","2PM","Coffee House","1d","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","5min - 15min","1"
"3234","Friend(s)","Sunny","2PM","Coffee House","2h","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","15min - 25min","1"
"3235","Friend(s)","Sunny","2PM","Coffee House","1d","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","15min - 25min","1"
"3236","Friend(s)","Sunny","2PM","Restaurant(<20)","1d","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","15min - 25min","1"
"3237","Friend(s)","Sunny","6PM","Coffee House","2h","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","5min - 15min","1"
"3238","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","15min - 25min","1"
"3239","Friend(s)","Sunny","2PM","Coffee House","2h","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","5min - 15min","1"
"3240","Friend(s)","Sunny","2PM","Carry out & Take away","1d","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","15min - 25min","1"
"3241","Alone","Sunny","10AM","Coffee House","2h","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","5min - 15min","1"
"3242","Alone","Sunny","6PM","Bar","1d","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","5min - 15min","1"
"3243","Alone","Sunny","6PM","Restaurant(20-50)","1d","30-40","Single","0","High School Graduate","employed","Low","never","1~3","1~3","1~3","15min - 25min","1"
